id,asset_number,name,stock_type,location,quantity_held,quantity_booked,quantity_available,quantity_counted
49344,607810,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
49345,607811,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
44544,610424,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
44545,610425,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
44546,610426,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
44543,610427,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43617,610430,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43632,610436,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43622,610437,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43624,610438,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43610,610439,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43611,610441,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
43613,610442,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
49346,900008,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
49347,900009,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
49348,900021,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
49349,900022,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
49350,900060,ASD125A63A3P,Rental,"",1.0,0.0,1.0,1.0
44690,601027,ASD32A16A3P,Rental,"",1.0,0.0,1.0,1.0
44691,610297,ASD32A16A3P,Rental,"",1.0,0.0,1.0,1.0
46398,607816,ASD63A32A3P,Rental,"",1.0,0.0,1.0,1.0
46399,608277,ASD63A32A3P,Rental,"",1.0,0.0,1.0,1.0
49351,607666,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49352,607714,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49353,607715,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49354,607716,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49355,607717,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49356,607718,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49357,607719,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49358,607720,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
49359,607721,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
45441,607722,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
45442,607723,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
45443,607724,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
45444,607725,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
45445,607726,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
45446,607727,ASU13A16A1P,Rental,"",1.0,0.0,1.0,1.0
